Question,Type,Option_A,Option_B,Option_C,Option_D,Option_E,Option_F,Correct_Answers
Which two methods do you use to invoke the best visualization in OAC?,Checkboxes,"Select the desired data elements from the Data Elements pane, and then right-click and select Create Best Visualization from the drop-down menu",Change the project's properties to 'Always use Best Visualization',Select the desired data elements from the Data Elements pane and drag them to a blank area of the canvas,Select the Best Visualization option from the project's Canvas Settings drop-down menu,,,"A, C"
11. Which type of report is an example of the bursting feature in Pixel Perfect Reporting?,Multiple Choice,Ad hoc reporting,Interactive data exploration,Government PDF forms,Customized regional marketing reports,Bar codes,,D
You have a business security requirement allowing a user defined Group to create and edit only data sets and workbooks. Which statement is true regarding Oracle Analytics Cloud Application Roles?,Multiple Choice,Create a User-Defined Application Role with only the required authoring capabilities and grant it to the Group.,"Modify the ""DV Content Author"" Application Role permissions with only the required authoring capabilities and grant it to the Group.","Use the predefined ""BI Content Author"" application role and grant it to the Group.",,,,C
Which two statements are true regarding brushing in Oracle Analytics Analytics Cloud (OAC)?,Checkboxes,Brushing requires the creation of a special brushing object in the data model,Brushing can be used to highlight related data points across multiple linked visualizations,"Brushing works only with visualizations of the same type (for example, bar chart to bar chart)",Brushing automatically creates a new data source based on the selected data points,,,"B, D"
14. What does a fact table use to reference dimension tables?,Multiple Choice,Dimension attribute,Primary key,Master key,Aggregate type,Foreign key,,E
"You are working on a Sales Data Data Model with the following elements: Sales, Customer, Time, Geography, and Product. The Time dimension includes columns for Calendar Date, Year, Quarter, and Month. You want to analyze Sales within the same visualization by navigating from the Year level to the Month level. Which capability of the Oracle Analytics Cloud (OAC) will you use?",Multiple Choice,Drill Down Functions in Expression Editor,The Hierarchy capability in Oracle Analytics Semantic Modeler,Oracle Analytics automatically creates this capability for all Dimensions,Use the Analytics Link capability to navigate to a different canvas in Data Actions,,,B
16. Which action aids the creation of a story after generating visuals with Auto Insights in Oracle Analytics Cloud?,Multiple Choice,Navigate to the story creation feature available in Oracle Analytics Server.,Navigate to the Visualize Tab in Oracle Analytics Cloud for story development.,Utilize the Oracle Day by Day Mobile Application for story creation.,Navigate to the Present Tab in Oracle Analytics Cloud for story development.,,,D
17. Which role is required to edit and create a new semantic model in Oracle Analytics Cloud Enterprise Edition?,Multiple Choice,BI Content Author,BI RPD Model Author,BI Data Model Author,BI Data Load Author,DV Consumer Role,,B
The Administrator has navigated to the console page and clicked on search index. Which three items can be included in the index?,Checkboxes,Shared Folders,Content Folder,Data Models,User Folders,Templates,,"A, C, E"
You access a data visualization workbook by using your phone's browser. The canvas has three visualizations. How are the visualizations sized?,Multiple Choice,The first visualization takes 50% of the display area and the other two take 25% each.,Each visualization is of the same size.,Only a single visualization is displayed.,You cannot access data visualization by using a phone's browser.,,,B
"Which two statements are true about using parameters in Oracle Analytics Cloud (OAC) dashboard that analyzes sales data across attributes such as Customer Segment, Order Priority, Product Category, and City?",Checkboxes,Parameters can only be used with prompts on visualizations.,Parameters can be used as column selectors.,Parameters can be used with workbook titles and visualization labels.,Parameters can only be used as filters.,,,"B, C"
"You are tasked with creating a report in Oracle Analytics Analytics Publisher Publisher (OAP) that displays sales figures by product category, category and region. The data source is a relational database. Which is the initial step when building this report in OAP?",Multiple Choice,Select the charts and graphs to visualize the sales data,Create prompts to allow users to select specific product categories and regions,Define the data model connection to the relational database,Design the layout of the report using the Layout Editor,,,C
Which two maps use an API key to add as Map Background?,Checkboxes,Baidu Map,Google Map,Tiled Web Map,WMS Map,Oracle Map,,"B, C"
22. Which statement is true about Data Flows and Sequences?,Multiple Choice,Sequences can be scheduled but not Data Flows,Sequences cannot be scheduled but Data Flows can,Both Sequences and Data Flows can be scheduled,You cannot run a Sequence,,,C
How do you find the number of users signed in to your OAC Instance?,Multiple Choice,By asking the administrator to provide the number of users logged in to the OAC Instance,By running users() from Issue SQL,By running users() from Issue SQL,By accessing Users and Roles,,,B
24. You are working with an Oracle Analytics Analytics Cloud Cloud (OAC) workbook containing key sales performance metrics. You want to automatically deliver these insights to regional sales managers every Monday morning. Which statement about using the Workbook Email Scheduler is true?,Multiple Choice,The Workbook Email Scheduler supports sending dashboards along with scheduled emails.,Bursting allows you to personalize the emailed workbook for each recipient based on their data access permissions.,All regional managers must be preconfigured as Oracle Analytics Cloud users to receive scheduled emails with the workbook.,"You can schedule emails for workbooks on the ""My Folders"" and ""Shared Folders.""",The feature currently doesn't require any specific configuration by an OAC administrator.,,B
Which data action must you use to connect to Oracle Analytics Publisher reports?,Multiple Choice,HTTP API,Publish Event,Webhooks,URL Navigation,Analytics Link,,D
"26. In Oracle Analytics Analytics Cloud (OAC), you can quickly search for saved objects. However, if your input or search criteria is not formed correctly, it will not return any results. What could be the problem with your input?",Multiple Choice,"The input contains a comma (,) in the search text.",The input contains the date attribute in the year-month-day format.,"The input contains an asterisk (*) in the search text (for example, *revenue).",The input contains the object name only as a search text.,,,"A, D"
You have been tasked with building an analysis that requires data from two subject areas. How do you accomplish this?,Multiple Choice,A subject area must be modified to include all the columns required,Create two separate analyses and use the union feature,Create an analysis and add a second subject area for a union,Create two separate analyses and use the merge feature,,,C
You add a clusters statistic to your scatter chart. What does this help you identify?,Multiple Choice,Disparate groups of data points,Heterogeneous groups of data points,Homogeneous groups of data points,Homogeneous and heterogeneous groups of data points,,,C
"29. You have a data set of stocks with the columns Date, MaxStockPrice, and MinStockPrice. Which column cannot be removed when performing a trend analysis?",Multiple Choice,MinStockPrice,MaxStockPrice,All columns are required,Date,,,D
